"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 31, 2020","4,927.25","4,801.50","4,970.00","4,801.50","-","3.55%"
"Mar 30, 2020","4,758.50","4,766.00","4,804.25","4,741.00","-","-1.13%"
"Mar 27, 2020","4,812.75","4,833.00","4,866.00","4,770.75","-","-0.02%"
"Mar 26, 2020","4,813.50","4,855.75","4,855.75","4,768.50","-","-1.21%"
"Mar 25, 2020","4,872.25","4,840.00","4,889.75","4,743.75","-","0.55%"
"Mar 24, 2020","4,845.75","4,697.50","4,928.50","4,644.50","-","5.15%"
"Mar 23, 2020","4,608.50","4,641.50","4,675.50","4,462.50","-","-1.93%"
"Mar 20, 2020","4,699.00","4,744.25","4,938.50","4,621.25","-","-2.29%"
"Mar 19, 2020","4,809.25","4,782.50","4,844.75","4,371.00","-","1.56%"
"Mar 18, 2020","4,735.50","5,156.50","5,191.75","4,681.00","-","-7.99%"
"Mar 17, 2020","5,147.00","5,334.50","5,361.25","5,127.00","-","-2.63%"
"Mar 16, 2020","5,286.25","5,398.00","5,436.50","5,183.50","-","-3.08%"
"Mar 13, 2020","5,454.50","5,396.50","5,588.00","5,320.25","-","0.30%"
"Mar 12, 2020","5,438.00","5,462.00","5,483.50","5,377.00","-","-1.28%"
"Mar 11, 2020","5,508.75","5,589.50","5,611.00","5,507.50","-","-1.37%"
"Mar 10, 2020","5,585.50","5,563.00","5,654.25","5,548.50","-","1.11%"
"Mar 09, 2020","5,524.00","5,529.00","5,583.50","5,433.50","-","-1.91%"
"Mar 06, 2020","5,631.75","5,677.50","5,682.25","5,593.00","-","-0.71%"
"Mar 05, 2020","5,672.00","5,701.50","5,730.75","5,654.50","-","-0.39%"
"Mar 04, 2020","5,694.00","5,704.75","5,727.50","5,667.75","-","0.63%"
"Mar 03, 2020","5,658.25","5,759.00","5,779.50","5,623.50","-","-1.15%"
"Mar 02, 2020","5,724.00","5,578.00","5,732.75","5,578.00","-","2.40%"
"Feb 28, 2020","5,590.00","5,650.50","5,650.75","5,532.75","-","-1.15%"
"Feb 27, 2020","5,655.25","5,663.50","5,681.00","5,575.50","-","-0.11%"
"Feb 26, 2020","5,661.75","5,670.25","5,696.25","5,624.00","-","-0.31%"
