"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 30, 2020","251.00","251.00","251.00","251.00","-","-0.79%"
"Mar 27, 2020","253.00","253.00","253.00","253.00","-","-0.78%"
"Mar 26, 2020","255.00","255.00","255.00","255.00","-","0.00%"
"Mar 25, 2020","255.00","255.00","255.00","255.00","-","0.00%"
"Mar 24, 2020","255.00","255.00","255.00","255.00","-","-3.41%"
"Mar 23, 2020","264.00","264.00","264.00","264.00","-","0.00%"
"Mar 20, 2020","264.00","264.00","264.00","264.00","-","0.00%"
"Mar 19, 2020","264.00","264.00","264.00","264.00","-","-1.12%"
"Mar 18, 2020","267.00","267.00","267.00","267.00","-","0.00%"
"Mar 17, 2020","267.00","267.00","267.00","267.00","-","0.75%"
"Mar 16, 2020","265.00","265.00","265.00","265.00","0.05K","-1.85%"
"Mar 13, 2020","270.00","270.00","270.00","270.00","0.03K","1.12%"
"Mar 12, 2020","267.00","267.00","267.00","267.00","0.20K","-2.20%"
"Mar 11, 2020","273.00","273.00","273.00","273.00","-","0.00%"
"Mar 10, 2020","273.00","273.00","273.00","273.00","-","0.37%"
"Mar 09, 2020","272.00","272.00","272.00","272.00","-","-0.37%"
"Mar 06, 2020","273.00","273.00","273.00","273.00","0.03K","-1.80%"
"Mar 05, 2020","278.00","278.00","278.00","278.00","0.62K","0.54%"
"Mar 04, 2020","276.50","276.50","276.50","276.50","0.50K","-0.18%"
"Mar 03, 2020","277.00","277.00","277.00","277.00","0.09K","2.59%"
"Mar 02, 2020","270.00","270.00","270.00","270.00","0.27K","-0.49%"
"Feb 28, 2020","271.34","271.34","271.34","271.34","-","-0.24%"
"Feb 27, 2020","272.00","272.00","272.00","272.00","-","0.00%"
"Feb 26, 2020","272.00","272.00","272.00","272.00","-","-0.18%"
"Feb 25, 2020","272.50","272.50","272.50","272.50","-","0.00%"
"Feb 24, 2020","272.50","272.50","272.50","272.50","-","0.00%"
"Feb 21, 2020","272.50","272.50","272.50","272.50","0.03K","0.18%"
"Feb 20, 2020","272.00","272.00","272.00","272.00","0.03K","0.00%"
"Feb 19, 2020","272.00","272.00","272.00","272.00","-","-0.18%"
"Feb 18, 2020","272.50","272.50","272.50","272.50","-","0.00%"
"Feb 17, 2020","272.50","272.50","272.50","272.50","0.04K","0.55%"
"Feb 14, 2020","271.00","271.00","271.00","271.00","-","0.00%"
"Feb 13, 2020","271.00","271.00","271.00","271.00","-","0.00%"
"Feb 12, 2020","271.00","271.00","271.00","271.00","0.01K","1.12%"
"Feb 11, 2020","268.00","268.00","268.00","268.00","0.01K","1.52%"
"Feb 10, 2020","264.00","264.00","264.00","264.00","0.33K","-0.38%"
"Feb 07, 2020","265.00","265.00","265.00","265.00","0.51K","1.15%"
"Feb 06, 2020","262.00","262.00","262.00","262.00","0.11K","1.75%"
"Feb 05, 2020","257.50","257.50","257.50","257.50","1.21K","0.98%"
