Date,Open,High,Low,Close,Adj Close,Volume
24/10/2006,5.91,6.06,5.91,6.03,4.094723,33030671
25/10/2006,6.07,6.26,6.06,6.15,4.17621,18228993
26/10/2006,6.2,6.22,6.15,6.18,4.196581,9593754
27/10/2006,6.19,6.19,6,6.05,4.108305,8511411
30/10/2006,6.06,6.07,5.97,5.98,4.06077,4129365
31/10/2006,6.01,6.04,5.99,5.99,4.06756,3270139
01/11/2006,6,6.01,5.94,5.94,4.033608,1774844
02/11/2006,5.94,5.94,5.82,5.87,3.986075,3175278
03/11/2006,5.89,5.97,5.86,5.91,4.013236,1391551
06/11/2006,5.93,5.93,5.89,5.93,4.026818,795906
07/11/2006,5.95,5.96,5.93,5.94,4.033608,875751
08/11/2006,5.94,5.96,5.93,5.96,4.047188,866526
09/11/2006,5.95,6.03,5.95,5.96,4.047188,1149454
10/11/2006,5.98,6.02,5.96,5.97,4.053979,856575
13/11/2006,5.98,6.04,5.98,6.03,4.094723,1322688
14/11/2006,6.03,6.13,6.03,6.12,4.155838,2298384
15/11/2006,6.11,6.13,6.07,6.08,4.128676,1871613
16/11/2006,6.08,6.1,6.05,6.1,4.142258,1232415
17/11/2006,6.12,6.2,6.12,6.19,4.203372,4534079
20/11/2006,6.16,6.19,6.15,6.19,4.203372,922529
21/11/2006,6.15,6.3,6.15,6.3,4.278069,3576336
22/11/2006,6.32,6.4,6.28,6.36,4.318813,2928211
23/11/2006,6.35,6.4,6.35,6.35,4.312022,2191187
24/11/2006,6.35,6.37,6.29,6.37,4.325603,1202330
27/11/2006,6.38,6.39,6.32,6.38,4.332393,826512
28/11/2006,6.35,6.39,6.34,6.37,4.325603,863506
29/11/2006,6.37,6.45,6.37,6.43,4.366347,1661723
30/11/2006,6.42,6.69,6.42,6.53,4.434252,3751696
01/12/2006,6.56,6.58,6.5,6.5,4.41388,628556
04/12/2006,6.5,6.61,6.5,6.59,4.474995,1099937
05/12/2006,6.6,6.79,6.6,6.79,4.610808,4081595
06/12/2006,6.8,6.88,6.71,6.73,4.570064,1875971
07/12/2006,6.72,6.76,6.62,6.7,4.549691,861886
08/12/2006,6.7,6.7,6.65,6.66,4.52253,256908
11/12/2006,6.69,6.75,6.67,6.73,4.570064,721984
12/12/2006,6.74,6.78,6.71,6.76,4.590436,826675
13/12/2006,6.75,6.83,6.75,6.82,4.63118,1123463
14/12/2006,6.81,6.83,6.74,6.78,4.604018,1662933
15/12/2006,6.77,6.9,6.75,6.89,4.678713,2716282
18/12/2006,6.87,6.88,6.81,6.86,4.658341,856809
19/12/2006,6.86,6.89,6.82,6.87,4.665131,1270742
20/12/2006,6.88,6.89,6.83,6.87,4.665131,1391371
21/12/2006,6.86,6.95,6.86,6.9,4.685503,957427
22/12/2006,6.89,6.93,6.89,6.92,4.699084,504260
27/12/2006,6.91,6.93,6.9,6.92,4.699084,415126
28/12/2006,6.9,6.94,6.9,6.93,4.705876,514705
29/12/2006,6.92,6.94,6.91,6.94,4.712667,837052
02/01/2007,6.91,6.94,6.89,6.91,4.692294,224059
03/01/2007,6.88,6.9,6.8,6.8,4.617598,841400
04/01/2007,6.81,6.84,6.61,6.61,4.488578,1638766
05/01/2007,6.62,6.67,6.62,6.62,4.495367,772186
08/01/2007,6.64,6.65,6.61,6.62,4.495367,338901
09/01/2007,6.63,6.63,6.47,6.47,4.393509,1228979
10/01/2007,6.47,6.47,6.32,6.38,4.332393,2066141
11/01/2007,6.35,6.52,6.29,6.52,4.427462,1292171
12/01/2007,6.51,6.51,6.44,6.44,4.373137,663956
15/01/2007,6.45,6.52,6.45,6.52,4.427462,436622
16/01/2007,6.52,6.52,6.46,6.46,4.386718,202464
17/01/2007,6.46,6.51,6.41,6.47,4.393509,437455
18/01/2007,6.46,6.5,6.42,6.49,4.407089,583821
19/01/2007,6.49,6.49,6.44,6.44,4.373137,838762
22/01/2007,6.4,6.41,6.32,6.35,4.312022,3526642
23/01/2007,6.32,6.42,6.3,6.41,4.352765,1898937
24/01/2007,6.42,6.5,6.42,6.48,4.400299,2128349
25/01/2007,6.48,6.49,6.43,6.46,4.386718,1052404
26/01/2007,6.43,6.46,6.42,6.45,4.379928,713321
29/01/2007,6.45,6.48,6.42,6.44,4.373137,1903879
30/01/2007,6.43,6.45,6.42,6.43,4.366347,566950
31/01/2007,6.44,6.45,6.4,6.4,4.345975,845040
01/02/2007,6.4,6.43,6.37,6.41,4.352765,1869403
02/02/2007,6.4,6.41,6.38,6.4,4.345975,849005
05/02/2007,6.38,6.4,6.37,6.38,4.332393,627854
06/02/2007,6.37,6.42,6.37,6.39,4.339184,770147
07/02/2007,6.38,6.46,6.38,6.46,4.386718,1578693
08/02/2007,6.45,6.68,6.45,6.59,4.474995,5289602
09/02/2007,6.6,6.7,6.6,6.68,4.536111,3889983
12/02/2007,6.7,6.79,6.68,6.79,4.610808,3575286
13/02/2007,6.78,6.79,6.69,6.69,4.542902,1940413
14/02/2007,6.7,6.73,6.7,6.72,4.563273,1494292
15/02/2007,6.71,6.75,6.69,6.75,4.583646,1329015
16/02/2007,6.71,6.74,6.63,6.69,4.542902,826094
19/02/2007,6.68,6.69,6.63,6.67,4.529321,444736
20/02/2007,6.67,6.69,6.66,6.68,4.536111,217536
21/02/2007,6.68,6.68,6.62,6.64,4.508949,895519
22/02/2007,6.64,6.79,6.64,6.7,4.549691,2600589
23/02/2007,6.79,6.94,6.77,6.92,4.699084,7868236
26/02/2007,6.93,7.15,6.93,7.13,4.841689,5638949
27/02/2007,7.11,7.11,6.99,7.02,4.766992,3691226
28/02/2007,6.95,7.03,6.92,7.01,4.760201,2426120
01/03/2007,7.01,7.25,7.01,7.2,4.889222,3651925
02/03/2007,7.21,7.32,7.1,7.28,4.943547,1864070
05/03/2007,7.15,7.2,7,7.12,4.834897,1891321
06/03/2007,7.15,7.25,7.1,7.21,4.896012,1394306
07/03/2007,7.25,7.39,7.23,7.35,4.99108,1818965
08/03/2007,7.4,7.43,7.26,7.31,4.963918,1075353
09/03/2007,7.32,7.36,7.24,7.31,4.963918,1042916
12/03/2007,7.33,7.35,7.28,7.35,4.99108,672493
13/03/2007,7.31,7.34,7.2,7.2,4.889222,826327
14/03/2007,7.15,7.15,7.03,7.06,4.794153,1239472
15/03/2007,7.16,7.2,7.14,7.14,4.848477,586266
16/03/2007,7.15,7.16,7.07,7.1,4.821316,575379
19/03/2007,7.1,7.14,7.08,7.08,4.807734,230320
20/03/2007,7.12,7.3,7.07,7.3,4.957129,671052
21/03/2007,7.29,7.44,7.29,7.38,5.011452,1689856
22/03/2007,7.45,7.55,7.41,7.44,5.052196,3153730
23/03/2007,7.46,7.49,7.45,7.46,5.065777,979014
26/03/2007,7.47,7.5,7.47,7.49,5.086148,714962
27/03/2007,7.49,7.55,7.49,7.5,5.092939,1043173
28/03/2007,7.5,7.53,7.49,7.51,5.09973,500496
29/03/2007,7.5,7.53,7.46,7.46,5.065777,515883
30/03/2007,7.49,7.5,7.45,7.5,5.092939,673128
02/04/2007,7.47,7.5,7.47,7.47,5.072567,319701
03/04/2007,7.46,7.5,7.4,7.47,5.072567,906988
04/04/2007,7.5,7.58,7.49,7.5,5.092939,931464
